1724558764	-33.0472	-71.6127
1724558944	-33.055840008640004	-71.60061965811306
1724559124	-33.055840008640004	-71.62478034188695
1724559304	-33.05296000576	-71.62477994673681
1724559484	-33.05296000576	-71.6006200532632
1724559664	-33.05008000288	-71.60062044835696
1724559844	-33.05008000288	-71.62477955164304
1724560024	-33.0472	-71.62477915660565
1724560204	-33.0472	-71.60062084339435
1724560384	-33.04431999711999	-71.6006212383754
1724560564	-33.04431999711999	-71.62477876162461
1724560744	-33.041439994239994	-71.62477836669991
1724560924	-33.041439994239994	-71.6006216333001
1724561104	-33.03855999135999	-71.60062202816846
1724561284	-33.03855999135999	-71.62477797183155
1724561464	-33.0472	-71.6127
